[DEBUG] [2021-07-03 00:00:00] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 3c22445be16d45d5bf1d2c92556e6eb9, msgType : 19
[DEBUG] [2021-07-03 00:00:36] PlatformDependent.<clinit>(158) | -Dio.netty.maxDirectMemory: {} bytes
[DEBUG] [2021-07-03 00:00:36] PlatformDependent.<clinit>(164) | -Dio.netty.uninitializedArrayAllocationThreshold: {}
[DEBUG] [2021-07-03 00:00:36] CleanerJava6.<clinit>(92) | java.nio.ByteBuffer.cleaner(): available
[DEBUG] [2021-07-03 00:00:36] PlatformDependent.<clinit>(184) | -Dio.netty.noPreferDirect: {}
[DEBUG] [2021-07-03 00:00:36] NetUtil$1.run(271) | {}: {}
[DEBUG] [2021-07-03 00:00:36] ThreadPoolConfig.<init>(54) | Init ThreadPoolConfig, channelProcessorThreadSize: 16, receiptProcessorThreadSize: 16, maxBlockingQueueSize: 102400
[DEBUG] [2021-07-03 00:00:36] DefaultSingletonBeanRegistry.getSingleton(213) | Creating shared instance of singleton bean 'bcosSDK'
[DEBUG] [2021-07-03 00:00:36] ResourceLeakDetector.<clinit>(121) | -D{}: {}
[DEBUG] [2021-07-03 00:00:36] ResourceLeakDetector.<clinit>(122) | -D{}: {}
[DEBUG] [2021-07-03 00:00:36] ResourceLeakDetectorFactory$DefaultResourceLeakDetectorFactory.newResourceLeakDetector(202) | Loaded default ResourceLeakDetector: {}
[DEBUG] [2021-07-03 00:00:36] PlatformDependent$Mpsc.<clinit>(864) | org.jctools-core.MpscChunkedArrayQueue: available
[DEBUG] [2021-07-03 00:00:36] InternalThreadLocalMap.<clinit>(54) | -Dio.netty.threadLocalMap.stringBuilder.initialSize: {}
[DEBUG] [2021-07-03 00:00:36] InternalThreadLocalMap.<clinit>(57) | -Dio.netty.threadLocalMap.stringBuilder.maxSize: {}
[INFO] [2021-07-03 00:00:36] ConnectionManager.<init>(90) |  all connections, size: 2, list: [ConnectionInfo{host='127.0.0.1', port=20200}, ConnectionInfo{host='127.0.0.1', port=20201}]
[DEBUG] [2021-07-03 00:00:36] NetworkImp.start(159) | start connManager with ECDSA sslContext
[DEBUG] [2021-07-03 00:00:36] ConnectionManager.startConnect(101) |  start connect. 
[DEBUG] [2021-07-03 00:00:36] MultithreadEventLoopGroup.<clinit>(44) | -Dio.netty.eventLoopThreads: {}
[DEBUG] [2021-07-03 00:00:36] NioEventLoop.<clinit>(104) | -Dio.netty.noKeySetOptimization: {}
