[DEBUG] [2021-07-06 10:00:00] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 284310b89b2c496bb079077969980e8f, msgType : 19
[DEBUG] [2021-07-06 10:00:14] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 56f49f58dfa94d08b1587754795fc581, msgType : 19
[DEBUG] [2021-07-06 10:00:14] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : d1d46505362140968831cdcc3566ea37, msgType : 19
[DEBUG] [2021-07-06 10:00:16] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2021-07-06 10:00:16] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-07-06 10:00:16] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2021-07-06 10:00:16] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-07-06 10:00:16] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20201, updated blockNumber: 275, groupId: 1
[DEBUG] [2021-07-06 10:00:16] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 275, nodeWithLatestBlockNumber:[127.0.0.1:20201]
[DEBUG] [2021-07-06 10:00:16] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20200, updated blockNumber: 275, groupId: 1
[DEBUG] [2021-07-06 10:00:16] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 275, nodeWithLatestBlockNumber:[127.0.0.1:20201, 127.0.0.1:20200]
[DEBUG] [2021-07-06 10:00:16] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : afa628f5d3b64dd0b4bde597e7399703, msgType : 19
[DEBUG] [2021-07-06 10:00:16] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : e18ec589dc3d4d2ca06794e63cd81785, msgType : 19
[DEBUG] [2021-07-06 10:00:18] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 3eeaab1f19f446e8b6374f4a314e1819, msgType : 19
[DEBUG] [2021-07-06 10:00:18] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 4db6922ca4de46fdbdecdcebd0137fb1, msgType : 19
[DEBUG] [2021-07-06 10:00:20] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : e336cd879a5143288854f5dcf2999eb5, msgType : 19
[DEBUG] [2021-07-06 10:00:20] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 817c5520b0624e7f9b95f4de311ba102, msgType : 19
[DEBUG] [2021-07-06 10:00:22] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : c93748181e814951a02689a0a15aafac, msgType : 19
[DEBUG] [2021-07-06 10:00:22] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 8348e893cb3342da88f875dd387e8bc8, msgType : 19
[DEBUG] [2021-07-06 10:00:24] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : c03eee1af52a47e8a2203729ebeac332, msgType : 19
[DEBUG] [2021-07-06 10:00:24] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 2be81873403f41e190fd22b467b79ccc, msgType : 19
[DEBUG] [2021-07-06 10:00:26] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 0d5a7e348bd249da85c0fd9a978262d7, msgType : 19
[DEBUG] [2021-07-06 10:00:26] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : f73ea6468b5e4a60a42cf8e5f656f672, msgType : 19
[DEBUG] [2021-07-06 10:00:28] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 6878f63418d940a1b8990af74691ecfe, msgType : 19
[DEBUG] [2021-07-06 10:00:28] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 5b6898be90b447db98fc1118ed8fc099, msgType : 19
[DEBUG] [2021-07-06 10:00:30] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 0b5fc943502148458ee45ca2111c21a9, msgType : 19
[DEBUG] [2021-07-06 10:00:30] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 064c2cb207ba4bd4a533b980575cf815, msgType : 19
[DEBUG] [2021-07-06 10:00:32] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : f67c39664b4741a28d9a96a68ac3b096, msgType : 19
[DEBUG] [2021-07-06 10:00:32] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : ce26d0b161f84d80bfccabda6eda1ae7, msgType : 19
[DEBUG] [2021-07-06 10:00:34] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 0264290aad9642959a5f880692fb751f, msgType : 19
[DEBUG] [2021-07-06 10:00:34] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 5216bc4b65e54839be85d468211ed3ae, msgType : 19
[DEBUG] [2021-07-06 10:00:36] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : dc5eb3f6435a4c338d1d3ba8a82078e0, msgType : 19
[DEBUG] [2021-07-06 10:00:36] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 4ab8a623d5114fe09c4f9609408a68bd, msgType : 19
[DEBUG] [2021-07-06 10:00:38] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : a7d5a69080484e8c8533a36e9d28ac65, msgType : 19
[DEBUG] [2021-07-06 10:00:38] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 755ef052bc084cf3be69569d0b1ffc48, msgType : 19
[DEBUG] [2021-07-06 10:00:38] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 5568af20c4984e9db9d0eb0e3d9bddb7, msgType : 18
[DEBUG] [2021-07-06 10:00:38] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 4cc098ad372b4df19401791ee24bb627, msgType : 18
[DEBUG] [2021-07-06 10:00:40] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 7f6d11897ebf405b834f144aa34e1aef, msgType : 19
[DEBUG] [2021-07-06 10:00:40] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 9ea3b7835a0a44ecb039801b77407a75, msgType : 19
[DEBUG] [2021-07-06 10:00:42] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : b82f60b03e7c41c6b0da07a1196905c6, msgType : 19
[DEBUG] [2021-07-06 10:00:42] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : f445c48fba1944dab44e31630b4f92d4, msgType : 19
[DEBUG] [2021-07-06 10:00:44] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 8947c1fdeaf94373bada03ae9e67ac2a, msgType : 19
[DEBUG] [2021-07-06 10:00:44] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 1c7d8543e9f247d78efd5d033102143c, msgType : 19
[DEBUG] [2021-07-06 10:00:46] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 77c708ac6b6943d389f6c3e907ae921e, msgType : 19
[DEBUG] [2021-07-06 10:00:46] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 59d31d38825748e6bd58e9e5141baae6, msgType : 19
[DEBUG] [2021-07-06 10:00:47] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2021-07-06 10:00:47] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-07-06 10:00:47] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2021-07-06 10:00:47] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-07-06 10:00:47] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20200, updated blockNumber: 276, groupId: 1
[DEBUG] [2021-07-06 10:00:47] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 276, nodeWithLatestBlockNumber:[127.0.0.1:20200]
[DEBUG] [2021-07-06 10:00:47] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20201, updated blockNumber: 276, groupId: 1
[DEBUG] [2021-07-06 10:00:47] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 276, nodeWithLatestBlockNumber:[127.0.0.1:20200, 127.0.0.1:20201]
[DEBUG] [2021-07-06 10:00:48] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 7ebc5e4dfe9d4559a4fd25992c638eeb, msgType : 19
[DEBUG] [2021-07-06 10:00:48] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : d3142bad4b9e4d0ab8dd8aaa7608a990, msgType : 19
[DEBUG] [2021-07-06 10:00:50] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 5c73e4766fa9490584e18f600a42bc94, msgType : 19
[DEBUG] [2021-07-06 10:00:50] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 98e59f89135a4644b31951235b898690, msgType : 19
[DEBUG] [2021-07-06 10:00:52] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : da720463ec4a4153be4ca60acdc4a9bf, msgType : 19
[DEBUG] [2021-07-06 10:00:52] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : c73caea2ad324068a6de751c75b2f00c, msgType : 19
[DEBUG] [2021-07-06 10:00:52] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2021-07-06 10:00:52] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-07-06 10:00:52] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20201, updated blockNumber: 277, groupId: 1
[DEBUG] [2021-07-06 10:00:52] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 277, nodeWithLatestBlockNumber:[127.0.0.1:20201]
[DEBUG] [2021-07-06 10:00:52] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2021-07-06 10:00:52] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-07-06 10:00:52] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20200, updated blockNumber: 277, groupId: 1
[DEBUG] [2021-07-06 10:00:52] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 277, nodeWithLatestBlockNumber:[127.0.0.1:20201, 127.0.0.1:20200]
[DEBUG] [2021-07-06 10:00:54] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 923d751986f04bdd957da6f8b8c2ba04, msgType : 19
[DEBUG] [2021-07-06 10:00:54] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 84469b8e215a43e3a1b3fa7d2c0b7059, msgType : 19
[DEBUG] [2021-07-06 10:00:56] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : f8647ff445f9490a8df5d1e92ac64c91, msgType : 19
[DEBUG] [2021-07-06 10:00:56] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 89410938cd9a4367a5aaca4476fce02e, msgType : 19
[DEBUG] [2021-07-06 10:00:58] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 594125bd55ee4aefb1d7bb5c0b0820db, msgType : 19
[DEBUG] [2021-07-06 10:00:58] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : a8d99020e20f4632afeb4ef1f25baa3c, msgType : 19
[DEBUG] [2021-07-06 10:01:00] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : db66d211d73244e1894127722e58c679, msgType : 19
[DEBUG] [2021-07-06 10:01:00] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 2b88f576052c4c1088ad79a073d6cfdd, msgType : 19
[DEBUG] [2021-07-06 10:01:02] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : cbe39da530dd4c298693a46963461830, msgType : 19
[DEBUG] [2021-07-06 10:01:02] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 2097e5ce082f4177b8409b1123aa84af, msgType : 19
[DEBUG] [2021-07-06 10:01:04] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : a35d224239604518866497c36a9c72f4, msgType : 19
[DEBUG] [2021-07-06 10:01:04] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : ccd172ba7f514425ba7e2bc76536b465, msgType : 19
[DEBUG] [2021-07-06 10:01:06] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 81353a33f2d14e74be70368d7c268405, msgType : 19
[DEBUG] [2021-07-06 10:01:06] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : d6fd444b5e1d4307bc2eed22112fb801, msgType : 19
[DEBUG] [2021-07-06 10:01:08] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : e8c6aa556e874a7cbd36412507f2ab4b, msgType : 19
[DEBUG] [2021-07-06 10:01:08] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : d58083e4ab9b447aa22bd6a090474795, msgType : 19
[DEBUG] [2021-07-06 10:01:10] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : b03ba8afd8fd4accbf5b9eb548a98ba8, msgType : 19
[DEBUG] [2021-07-06 10:01:10] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : f13db078eeb846f1ad29758e8f400a41, msgType : 19
[DEBUG] [2021-07-06 10:01:12] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : fa6cb9c9297f4bdfb7986634320446ab, msgType : 19
[DEBUG] [2021-07-06 10:01:12] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 616cf75789f54450ae42999767659a1a, msgType : 19
[DEBUG] [2021-07-06 10:01:14] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 7246ce3d395e4a5194af0712ab6ee147, msgType : 19
[DEBUG] [2021-07-06 10:01:14] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 9808633fa726476b980d793f5dcd7b95, msgType : 19
[DEBUG] [2021-07-06 10:01:16] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 355685fab2e84150967bff4916d48cf2, msgType : 19
[DEBUG] [2021-07-06 10:01:16] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 21cd9a85d86d48ba865a0994c3ce5420, msgType : 19
[DEBUG] [2021-07-06 10:01:18] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : cd7ff0c8a8b442988a3912689b045701, msgType : 19
[DEBUG] [2021-07-06 10:01:18] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 54c502f4014d44ecb65ee86094e4b254, msgType : 19
[DEBUG] [2021-07-06 10:01:20] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 3436ac14a929491bafe56b1aaf8717e5, msgType : 19
[DEBUG] [2021-07-06 10:01:20] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : d503a83ef50547f6a447391701f43fe1, msgType : 19
[DEBUG] [2021-07-06 10:01:22] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 152042de9e294a12a0632ea7a648496a, msgType : 19
[DEBUG] [2021-07-06 10:01:22] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 23454d16eb874460b5707b39f69855b7, msgType : 19
[DEBUG] [2021-07-06 10:01:24] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : a7295f21f919412d9fb632a5ceed2db1, msgType : 19
[DEBUG] [2021-07-06 10:01:24] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 23bc83b9aed645e483beee424afe760b, msgType : 19
[DEBUG] [2021-07-06 10:01:26] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : e3fa5df6a14c4539949ae364b1bb06bd, msgType : 19
[DEBUG] [2021-07-06 10:01:26] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 5fd3f941a28c4f418ed2adb7c3251f91, msgType : 19
[DEBUG] [2021-07-06 10:01:28] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 205ccb0f940d4c25aa146de01602ca70, msgType : 19
[DEBUG] [2021-07-06 10:01:28] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : c1a8459bfc3c4a49beaf28789e429c5f, msgType : 19
[DEBUG] [2021-07-06 10:01:30] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : b86fccd4a8af4b49820f96662d0adcc0, msgType : 19
[DEBUG] [2021-07-06 10:01:30] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 5c3d859fc373481282108804f7634ee6, msgType : 19
[DEBUG] [2021-07-06 10:01:32] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 9cabf69e513f49cd9a32c7e57d3b50c8, msgType : 19
[DEBUG] [2021-07-06 10:01:32] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : ffcc70e0e8014bd29b2b410e6087c5de, msgType : 19
[DEBUG] [2021-07-06 10:01:34] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 0cc69bc38615426f96a576137c67e74f, msgType : 19
[DEBUG] [2021-07-06 10:01:34] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 528becace5e84c5aba965e17cf24898a, msgType : 19
[DEBUG] [2021-07-06 10:01:36] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 807cc12c117640ff81f2b4649413298b, msgType : 19
[DEBUG] [2021-07-06 10:01:36] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 82ca8269feb44442901cd3ba6690f3c9, msgType : 19
[DEBUG] [2021-07-06 10:01:38] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 5dd4a57b11d343fe9b1473d88b64be81, msgType : 19
[DEBUG] [2021-07-06 10:01:38] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 8b1d41bf962948009db6f68f4abc066f, msgType : 19
[DEBUG] [2021-07-06 10:01:38] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : fbb04ead97924ac3ae5e013fc7999504, msgType : 18
[DEBUG] [2021-07-06 10:01:38] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 9029bc6e435341be80d417af4323afa8, msgType : 18
[DEBUG] [2021-07-06 10:01:40] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 200c148d7051449daf913697cc415585, msgType : 19
[DEBUG] [2021-07-06 10:01:40] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : c0fa6bd29f3342fea52f0a47dc85a428, msgType : 19
[DEBUG] [2021-07-06 10:01:42] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 8b64ea8eb28b4d658c4856e1fcf33cd4, msgType : 19
[DEBUG] [2021-07-06 10:01:42] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 7e471bad08384633854d1a0dff33574e, msgType : 19
[DEBUG] [2021-07-06 10:01:44] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 9756ebf178d044ca9ae2864fbc9b58c0, msgType : 19
[DEBUG] [2021-07-06 10:01:44] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 8a9081f120a74239b0bea7656f68dce6, msgType : 19
[DEBUG] [2021-07-06 10:01:46] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 73501e6c6a17463bbd695e9473c30552, msgType : 19
[DEBUG] [2021-07-06 10:01:46] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : ab94a4dd9c86411cbad73fdf21c6fee0, msgType : 19
[DEBUG] [2021-07-06 10:01:48] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : ca0f58b40abc454bbc9215495aeb1cd7, msgType : 19
[DEBUG] [2021-07-06 10:01:48] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : ee3e910db92e4e6387228f489bbba4cb, msgType : 19
