[DEBUG] [2021-07-02 15:00:00] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : e50fc44a3c5440d499088f0b20a69f8e, msgType : 19
[DEBUG] [2021-07-02 15:00:04] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 250, nodeWithLatestBlockNumber:[127.0.0.1:20201, 127.0.0.1:20200]
[DEBUG] [2021-07-02 15:00:04] AbstractMessageConverterMethodProcessor.writeWithMessageConverters(268) | Using 'application/json', given [*/*] and supported [application/json, application/*+json, application/json, application/*+json]
[DEBUG] [2021-07-02 15:00:04] LogFormatUtils.traceDebug(91) | Writing [com.example.demo.pojo.Result@4af7ece9]
[DEBUG] [2021-07-02 15:00:04] FrameworkServlet.logResult(1131) | Completed 200 OK
[DEBUG] [2021-07-02 15:00:04] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : ee27e074e59b4d6f830c0255453222b4, msgType : 19
[DEBUG] [2021-07-02 15:00:04] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 0bef9b2b4cb0490cbc4a698ce0f4943d, msgType : 19
[DEBUG] [2021-07-02 15:00:06] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 7a1a86abfcc0480d810f4c9840696c7e, msgType : 19
[DEBUG] [2021-07-02 15:00:06] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : fde97445db1b4ee5898d1c8f2b6057b4, msgType : 19
[DEBUG] [2021-07-02 15:00:08] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : ec8c62c2d6044cef978e00502d72bc19, msgType : 19
[DEBUG] [2021-07-02 15:00:08] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 199fca9782174d8eab324f78580ef270, msgType : 19
[DEBUG] [2021-07-02 15:00:08] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 869f04c94b484f019d06bcd014be70cd, msgType : 18
[DEBUG] [2021-07-02 15:00:08] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 0286940db9fa4cea96864dac14627a1c, msgType : 18
[DEBUG] [2021-07-02 15:00:10] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : d7056a1f27ea47d1b90a62274eb08360, msgType : 19
[DEBUG] [2021-07-02 15:00:10] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : f99217d4ccdc4277b007f601b6c5222f, msgType : 19
[DEBUG] [2021-07-02 15:00:12] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : ad6269187e24444e83268272e6c2aee1, msgType : 19
[DEBUG] [2021-07-02 15:00:12] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 211f690c2ee143a981832117e05600c5, msgType : 19
[DEBUG] [2021-07-02 15:00:14] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 613efb75ea8e442a8287ab2207985589, msgType : 19
[DEBUG] [2021-07-02 15:00:14] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : c1f45de6aeef45ef89f304bd2ef4a889, msgType : 19
[DEBUG] [2021-07-02 15:00:16] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 3d558fff9c854d668f2d59ff1f850e18, msgType : 19
[DEBUG] [2021-07-02 15:00:16] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 538dbb2a3a7b48bbb4320252d0c7744c, msgType : 19
[DEBUG] [2021-07-02 15:00:18] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : b81a347db4e2421aa48abe5cbc513bc7, msgType : 19
[DEBUG] [2021-07-02 15:00:18] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 63f349c200274bc8afa913d0d37011d8, msgType : 19
[DEBUG] [2021-07-02 15:00:20] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 831c6de3af7e40ae82c588dd8bcf3c2d, msgType : 19
[DEBUG] [2021-07-02 15:00:20] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : f9e5bfe4322e4b9e9265dc3ab922e0d2, msgType : 19
[DEBUG] [2021-07-02 15:00:22] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 0abd4b5c50c64b08aff5346179367dbe, msgType : 19
[DEBUG] [2021-07-02 15:00:22] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 9fc2c82ca9684462ace95928bbda1464, msgType : 19
[DEBUG] [2021-07-02 15:00:24] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 247a60ee8106486cb4cb228de4f62822, msgType : 19
[DEBUG] [2021-07-02 15:00:24] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 079294847a734cd9a2940f311cc3a762, msgType : 19
[DEBUG] [2021-07-02 15:00:26] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : cb6d99efb59d4b088bd88077c5a276b0, msgType : 19
[DEBUG] [2021-07-02 15:00:26] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : bb6f6b5183fb4d26846f26fabea25372, msgType : 19
[DEBUG] [2021-07-02 15:00:28] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : f518dca0cb3a42afb628d74cf3b90c1f, msgType : 19
[DEBUG] [2021-07-02 15:00:28] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 25e3d70670ca4e75915e10d520ac35a6, msgType : 19
[DEBUG] [2021-07-02 15:00:30] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 149e10db697b4064bed78a2475ca5bc4, msgType : 19
[DEBUG] [2021-07-02 15:00:30] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : dc81987d217745c99845ef41b2085fb6, msgType : 19
[DEBUG] [2021-07-02 15:00:32] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 8232b24e9af746cb9ec574edd496ee16, msgType : 19
[DEBUG] [2021-07-02 15:00:32] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 817be1a6887948ad9d7394adbfef46c3, msgType : 19
[DEBUG] [2021-07-02 15:00:34] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : c59dc1c744bb4c0d8af3643990176beb, msgType : 19
[DEBUG] [2021-07-02 15:00:34] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : fd38e3315f7b43cba9e59d745434bfca, msgType : 19
[DEBUG] [2021-07-02 15:00:36] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 89a72b3cb7a0477e9994628d31ad9299, msgType : 19
[DEBUG] [2021-07-02 15:00:36] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : c6ba3eb602e8443a9ffff85f8443463f, msgType : 19
[DEBUG] [2021-07-02 15:00:38] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : cde3a7d892724420ae4890579cbf6acc, msgType : 19
[DEBUG] [2021-07-02 15:00:38] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 10cd995ff6c940aba1e5f36ba7188fba, msgType : 19
[DEBUG] [2021-07-02 15:00:40] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 893e4d17c131425abcadbde4404670b5, msgType : 19
[DEBUG] [2021-07-02 15:00:40] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 2edaba80d89a44319e8d6e7ba3896761, msgType : 19
[DEBUG] [2021-07-02 15:00:41] LogFormatUtils.traceDebug(91) | POST "/v1/usr/signin?user_id=port&password=123&user_type=1", parameters={masked}
[DEBUG] [2021-07-02 15:00:41] AbstractHandlerMapping.getHandler(522) | Mapped to com.example.demo.controller.UserController#signin(String, String, int)
[INFO] [2021-07-02 15:00:41] ContractClient.loadContractAddr(73) |  load contract address from contract.properties, address is 0x51191ae41ae7aad42f9deb382086da0d95020929
[DEBUG] [2021-07-02 15:00:41] TransactionProcessorFactory.getChainIdAndGroupId(35) | getNodeVersion before createTransactionManager, binaryVerison: 2.7.2, supportedVersion:2.7.2
[DEBUG] [2021-07-02 15:00:41] TransactionProcessorFactory.getChainIdAndGroupId(49) | createTransactionManager for >=rc2 node, chainId: 1, groupId: 1
[DEBUG] [2021-07-02 15:00:41] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 34cb3d26b78d4840a8ddfa9acb3a5836, msgType : 18
[DEBUG] [2021-07-02 15:00:41] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2021-07-02 15:00:41] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-07-02 15:00:41] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20201, updated blockNumber: 251, groupId: 1
[DEBUG] [2021-07-02 15:00:41] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2021-07-02 15:00:41] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 251, nodeWithLatestBlockNumber:[127.0.0.1:20201]
[DEBUG] [2021-07-02 15:00:41] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20200, updated blockNumber: 251, groupId: 1
[DEBUG] [2021-07-02 15:00:41] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-07-02 15:00:41] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 251, nodeWithLatestBlockNumber:[127.0.0.1:20201, 127.0.0.1:20200]
[DEBUG] [2021-07-02 15:00:41] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 34cb3d26b78d4840a8ddfa9acb3a5836, msgType : 4096
[DEBUG] [2021-07-02 15:00:41] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-07-02 15:00:41] AbstractMessageConverterMethodProcessor.writeWithMessageConverters(268) | Using 'application/json', given [*/*] and supported [application/json, application/*+json, application/json, application/*+json]
[DEBUG] [2021-07-02 15:00:41] LogFormatUtils.traceDebug(91) | Writing [com.example.demo.pojo.Result@339872e3]
[DEBUG] [2021-07-02 15:00:41] FrameworkServlet.logResult(1131) | Completed 200 OK
[DEBUG] [2021-07-02 15:00:42] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : b48b11e7dbfb4892996c2d2826e25001, msgType : 19
[DEBUG] [2021-07-02 15:00:42] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 0233d68f25f1494690e52ac88089c4a6, msgType : 19
[DEBUG] [2021-07-02 15:00:44] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : e151defb35154ae69badee59bc677f0c, msgType : 19
[DEBUG] [2021-07-02 15:00:44] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : faa3b0408a714f7a90291ef46602c54f, msgType : 19
[DEBUG] [2021-07-02 15:00:45] LogFormatUtils.traceDebug(91) | POST "/v1/chain/addNode?user_id=port&id=1&in_time=20210702&out_time=20210703&token=11464993413334988409", parameters={masked}
[DEBUG] [2021-07-02 15:00:45] AbstractHandlerMapping.getHandler(522) | Mapped to com.example.demo.controller.ChainController#addNode(String, String, String, String, String)
[INFO] [2021-07-02 15:00:45] ContractClient.loadContractAddr(73) |  load contract address from contract.properties, address is 0x51191ae41ae7aad42f9deb382086da0d95020929
[DEBUG] [2021-07-02 15:00:45] TransactionProcessorFactory.getChainIdAndGroupId(35) | getNodeVersion before createTransactionManager, binaryVerison: 2.7.2, supportedVersion:2.7.2
[DEBUG] [2021-07-02 15:00:45] TransactionProcessorFactory.getChainIdAndGroupId(49) | createTransactionManager for >=rc2 node, chainId: 1, groupId: 1
[DEBUG] [2021-07-02 15:00:45] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : d422cc30ee8f4689a7a043ac30c82c8d, msgType : 18
[DEBUG] [2021-07-02 15:00:45] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 59b0659580894d75bf1e193261fcc416, msgType : 18
[DEBUG] [2021-07-02 15:00:45] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2021-07-02 15:00:45] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-07-02 15:00:45] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2021-07-02 15:00:45] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-07-02 15:00:45] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20200, updated blockNumber: 252, groupId: 1
[DEBUG] [2021-07-02 15:00:45] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 59b0659580894d75bf1e193261fcc416, msgType : 4096
[DEBUG] [2021-07-02 15:00:45] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20201, updated blockNumber: 252, groupId: 1
[DEBUG] [2021-07-02 15:00:45] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-07-02 15:00:45] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 252, nodeWithLatestBlockNumber:[127.0.0.1:20200]
[DEBUG] [2021-07-02 15:00:45] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 252, nodeWithLatestBlockNumber:[127.0.0.1:20200, 127.0.0.1:20201]
[DEBUG] [2021-07-02 15:00:45] AbstractMessageConverterMethodProcessor.writeWithMessageConverters(268) | Using 'application/json', given [*/*] and supported [application/json, application/*+json, application/json, application/*+json]
[DEBUG] [2021-07-02 15:00:45] LogFormatUtils.traceDebug(91) | Writing [com.example.demo.pojo.Result@69b48723]
[DEBUG] [2021-07-02 15:00:45] FrameworkServlet.logResult(1131) | Completed 200 OK
[DEBUG] [2021-07-02 15:00:46] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : da3ebef2e37f422aae75eef034b70ee3, msgType : 19
[DEBUG] [2021-07-02 15:00:46] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : fe1a6ffdf473438a927b1fad2651ea0e, msgType : 19
[DEBUG] [2021-07-02 15:00:48] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 4ed82a4d3c7744aeba4c64b10b9d949c, msgType : 19
[DEBUG] [2021-07-02 15:00:48] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 8cd6a3b362b5408c99ad180ca920f939, msgType : 19
[DEBUG] [2021-07-02 15:00:50] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : cd09c32e6e2a4b7695adfbbc72585ba3, msgType : 19
[DEBUG] [2021-07-02 15:00:50] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 9d87ba6de5e9429b8f5c289bec9739b2, msgType : 19
[DEBUG] [2021-07-02 15:00:52] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 78a97c5a9181461dba44329a24b776c6, msgType : 19
[DEBUG] [2021-07-02 15:00:52] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : d563863f37d048f193553552db5b2066, msgType : 19
[DEBUG] [2021-07-02 15:00:54] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 6addaf73991546d185809cc6d716877a, msgType : 19
[DEBUG] [2021-07-02 15:00:54] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 6df1563c846e46749c6c51943fd4e6bb, msgType : 19
[DEBUG] [2021-07-02 15:00:56] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : fd3b4b7bae3a46bfa5dc5808f1b3d0bb, msgType : 19
[DEBUG] [2021-07-02 15:00:56] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 31979115dc97477483765bc585d5e10c, msgType : 19
[DEBUG] [2021-07-02 15:00:58] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : b6657b76a64541deb05cdb16cbbd96f6, msgType : 19
[DEBUG] [2021-07-02 15:00:58] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 1e5ea36c06e242888d8fd994b1e12a2b, msgType : 19
[DEBUG] [2021-07-02 15:01:00] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : fe50f02543254158ac1208d0ff193ddd, msgType : 19
[DEBUG] [2021-07-02 15:01:00] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : bd28ea523d4a4e899733b8e20f6464d3, msgType : 19
[DEBUG] [2021-07-02 15:01:02] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 583bfc2698164c7ba5d35579dcc4f230, msgType : 19
[DEBUG] [2021-07-02 15:01:02] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : a68e4722d63749108258e73d6f3dff0e, msgType : 19
[DEBUG] [2021-07-02 15:01:04] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 54b090ab017341ccb0217acce1b938be, msgType : 19
[DEBUG] [2021-07-02 15:01:04] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 6d99ffd656a74424abb06631a11ea49b, msgType : 19
[DEBUG] [2021-07-02 15:01:06] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 757d19d0c0774cba9b0a0789001eaee3, msgType : 19
[DEBUG] [2021-07-02 15:01:06] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 44eb25a78008450d9777bb1cebb73670, msgType : 19
[DEBUG] [2021-07-02 15:01:08] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : b14fcbea675543698bbd8d85bdba54b6, msgType : 19
[DEBUG] [2021-07-02 15:01:08] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 2fb5a61aa54544bfb28a56393718feef, msgType : 19
[DEBUG] [2021-07-02 15:01:08] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 63fcfcf583b54a0ca270e53e30eeb7b0, msgType : 18
[DEBUG] [2021-07-02 15:01:08] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 111a2c605c5b4fde98b386a4c5e94d12, msgType : 18
[DEBUG] [2021-07-02 15:01:10] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 2cd2278ab40a4cfc98d046f995e61120, msgType : 19
[DEBUG] [2021-07-02 15:01:10] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 08de6bfa6b8a481cac57110e94607531, msgType : 19
[DEBUG] [2021-07-02 15:01:12] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : b67118934b184f9ca2976a7acf4967cd, msgType : 19
[DEBUG] [2021-07-02 15:01:12] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 71f02c5a812044ab88c675a5edfe3c93, msgType : 19
[DEBUG] [2021-07-02 15:01:14] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 2e69127416ae4286b60273da8441da8c, msgType : 19
[DEBUG] [2021-07-02 15:01:14] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 9542bcb224994870a5552e330831e34f, msgType : 19
[DEBUG] [2021-07-02 15:01:16] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 097a161890324e82990d144235ac95c2, msgType : 19
[DEBUG] [2021-07-02 15:01:16] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : bc11e82ae4ed4283bb58d2493fb10ea4, msgType : 19
[DEBUG] [2021-07-02 15:01:18] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : c558b0c7cd4c421f848eacb5e71ae6e6, msgType : 19
[DEBUG] [2021-07-02 15:01:18] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : f22bf7f6659b4881ae06d9ac206bfec4, msgType : 19
[DEBUG] [2021-07-02 15:01:20] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : d7b38a06338d4f24bee91b9a3597b87c, msgType : 19
[DEBUG] [2021-07-02 15:01:20] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 0a7ff83de5b54d0ba68b5b595e1bd318, msgType : 19
[DEBUG] [2021-07-02 15:01:22] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : d0dff896ff3449c5b3196a5f4f0a181f, msgType : 19
